frame,X,Y,Z,q1,q2,q3,q4,lat,lon
frame130,202.9375,-3.375,93.625,0.1380615234375,-0.18841552734375,-0.70458984375,0.6700439453125,32.880028216666666,-117.23666125
frame131,230.9375,0.375,91.4375,0.30126953125,-0.3048095703125,-0.64935302734375,0.6282958984375,32.8800255,-117.23666205
frame132,234.5625,-1.5625,94.375,0.31341552734375,-0.35516357421875,-0.64202880859375,0.60284423828125,0.0,0.0
frame133,241.25,-2.4375,96.0,0.34228515625,-0.408203125,-0.62060546875,0.57537841796875,0.0,0.0
frame134,247.8125,-3.0,93.75,0.38177490234375,-0.43988037109375,-0.5823974609375,0.56707763671875,0.0,0.0
frame135,244.875,-1.25,91.625,0.3720703125,-0.39849853515625,-0.59686279296875,0.58868408203125,32.87990403333333,-117.23678493333334
frame136,238.9375,-1.9375,93.5,0.3380126953125,-0.37982177734375,-0.620849609375,0.59661865234375,32.87989803333333,-117.2368138
frame137,240.8125,-2.1875,94.0625,0.3433837890625,-0.39495849609375,-0.61773681640625,0.5869140625,32.879889883333334,-117.23683111666666
frame138,247.4375,-0.5625,92.625,0.3856201171875,-0.40838623046875,-0.59619140625,0.5736083984375,32.879889883333334,-117.23683111666666
frame139,251.6875,-0.875,96.8125,0.38763427734375,-0.44854736328125,-0.59930419921875,0.53790283203125,0.0,0.0
frame140,247.4375,-2.625,93.0,0.380615234375,-0.42913818359375,-0.58416748046875,0.57421875,32.8798853,-117.23684235
frame141,236.9375,-0.9375,92.875,0.325439453125,-0.3555908203125,-0.63238525390625,0.60638427734375,32.879880316666664,0.0
frame142,237.3125,-1.0,94.9375,0.3284912109375,-0.36688232421875,-0.63702392578125,0.59307861328125,0.0,0.0
frame143,235.8125,-2.4375,95.1875,0.31549072265625,-0.37384033203125,-0.6373291015625,0.59539794921875,32.87986898333333,-117.23685575
frame144,227.1875,-2.0625,93.25,0.2745361328125,-0.31353759765625,-0.6556396484375,0.62969970703125,32.87986433333333,-117.23686146666667
frame145,230.6875,0.0625,96.8125,0.28399658203125,-0.32061767578125,-0.6761474609375,0.5994873046875,32.87986433333333,-117.23686146666667
frame146,234.1875,0.75,95.8125,0.304443359375,-0.326904296875,-0.6666259765625,0.59674072265625,0.0,0.0
frame147,232.0,-0.3125,96.0625,0.2921142578125,-0.329833984375,-0.66766357421875,0.60003662109375,32.87985938333333,-117.23687348333333
frame148,232.25,0.0,99.8125,0.28289794921875,-0.333984375,-0.6873779296875,0.57952880859375,32.87985676666667,-117.23687731666666
frame149,233.1875,2.625,95.4375,0.30029296875,-0.300537109375,-0.67559814453125,0.6025390625,0.0,0.0
frame150,209.125,-1.8125,94.5625,0.17138671875,-0.20965576171875,-0.7027587890625,0.6578369140625,32.879878483333336,-117.2369165
frame151,203.0625,-0.0625,94.6875,0.1343994140625,-0.146484375,-0.72125244140625,0.66357421875,32.87987685,-117.2369145
frame152,143.8125,3.1875,91.375,-0.22320556640625,0.2698974609375,-0.6650390625,0.65960693359375,32.87987685,-117.2369145
frame153,154.3125,-0.6875,93.875,-0.151611328125,0.1500244140625,-0.71502685546875,0.665771484375,32.87987335,-117.23692578333333
frame154,193.5625,0.625,95.8125,0.07958984375,-0.0782470703125,-0.73828125,0.66522216796875,0.0,0.0
frame155,-1867.0,2.125,94.75,0.001220703125,0.02703857421875,-0.7342529296875,0.6783447265625,32.879879716666665,-117.23694693333333
frame156,179.5,1.5,92.75,-0.00567626953125,0.02447509765625,-0.72406005859375,0.6893310546875,32.8798861,0.0
frame157,178.625,0.0625,94.5625,-0.0079345703125,0.00872802734375,-0.73577880859375,0.67706298828125,32.87988728333333,-117.23695283333333
