frame,timestamp
frame368,1724471783620.7239
frame369,1724471784088.675
frame370,1724471784552.919
frame371,1724471785022.369
frame372,1724471785488.24
frame373,1724471785956.32
frame374,1724471786421.205
frame375,1724471786885.2488
frame376,1724471787352.282
frame377,1724471787818.803
frame378,1724471788285.81
frame379,1724471788751.3198
frame380,1724471789222.152
frame381,1724471789684.729
frame382,1724471790155.106
frame383,1724471790619.194
frame384,1724471791085.793
frame385,1724471791551.524
frame386,1724471792022.008
frame387,1724471792483.4968
frame388,1724471792949.462
frame389,1724471793417.234
frame390,1724471793882.7131
frame391,1724471794351.148
frame392,1724471794817.4019
frame393,1724471795282.337
frame394,1724471795751.517
frame395,1724471796214.6
frame396,1724471796681.955
frame397,1724471797147.691
frame398,1724471797618.098
frame399,1724471798081.043
frame400,1724471798550.717
frame401,1724471799017.7
frame402,1724471799481.554
frame403,1724471799948.656
frame404,1724471800413.565
frame405,1724471800881.168
frame406,1724471801347.032
frame407,1724471801815.735
frame408,1724471802279.04
frame409,1724471802748.734
frame410,1724471803211.483
frame411,1724471803678.0889
frame412,1724471804147.4011
frame413,1724471804611.603
frame414,1724471805078.5671
frame415,1724471805543.8672
frame416,1724471806077.665
frame417,1724471806543.818
frame418,1724471807012.155
frame419,1724471807478.15
frame420,1724471807946.2048
frame421,1724471808409.785
frame422,1724471808879.16
frame423,1724471809342.768
frame424,1724471809814.485
frame425,1724471810283.1309
frame426,1724471810791.1812
frame427,1724471811209.1501
frame428,1724471811608.1892
frame429,1724471812010.35
frame430,1724471812408.167
frame431,1724471812808.593
frame432,1724471813208.49
frame433,1724471813673.691
frame434,1724471814076.4102
frame435,1724471814476.9211
frame436,1724471814940.1382
frame437,1724471815343.01
frame438,1724471815739.819
frame439,1724471816141.46
frame440,1724471816539.625
frame441,1724471816939.3662
frame442,1724471817340.989
frame443,1724471817738.273
frame444,1724471818140.4878
frame445,1724471818540.7651
frame446,1724471818939.7212
frame447,1724471819341.273
frame448,1724471819737.669
frame449,1724471820138.0159
frame450,1724471820537.5928
frame451,1724471820939.1848
frame452,1724471821338.757
frame453,1724471821736.9822
frame454,1724471822138.279
frame455,1724471822539.323
frame456,1724471822938.2588
frame457,1724471823337.794
frame458,1724471823736.725
frame459,1724471824136.013
frame460,1724471824540.167
frame461,1724471824935.6438
frame462,1724471825336.035
frame463,1724471825735.442
frame464,1724471826135.144
frame465,1724471826537.803
frame466,1724471826936.9111
frame467,1724471827333.7258
frame468,1724471827736.5698
frame469,1724471828134.676
frame470,1724471828534.605
frame471,1724471828935.333
frame472,1724471829335.437
frame473,1724471829737.15
frame474,1724471830137.478
frame475,1724471830537.861
frame476,1724471830884.713
frame477,1724471831151.0352
